Row,Column,Assay,Sample,Conc,Ct,Tm,Expected Tm,R2,Chi2,Straight R2,Efficiency,Multiple peaks,Outlier,Multimodal melt peaks,F0,Flags,S-DispenseTip,S-DropIndex,S-GlobalDropIndex,S-SP-Well,A-DispenseTip,A-DropIndex,A-GlobalDropIndex,A-SP-Well,Asymmetry,A,B,C,D,E,AmpRatio,Tm minus mean,Ct minus mean
25,55,ermG_807_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
25,56,cfxA_106_Rep2,P22o,-1,24.27386,76.60541,,0.9999186,18547.34,0.7682136,1.988508,FALSE,FALSE,FALSE,1.89E-05,,,,,,,,,,14,2518.068,1.336018,27.03334,11619.57,20.27245,5.614478,,
25,57,tetX_196_Rep2,P22o,-1,25.50849,75.23467,,0.999939,19623.03,0.7358649,2.00194,FALSE,FALSE,FALSE,7.67E-06,,,,,,,,,,9,2923.051,1.324106,28.25229,14173.29,20.3819,5.8488,,
25,58,intl2_338_Rep2,P22o,-1,28.4235,80.28029,,0.9996827,89002.7,0.6479419,1.991287,FALSE,FALSE,FALSE,9.23E-07,,,,,,,,,,13,2753.766,1.333528,31.1797,13167.24,17.15195,5.781538,,
25,59,intl3_1522_Rep2,P22o,-1,23.48871,79.48869,,0.9999924,1662.936,0.7789184,1.90366,FALSE,FALSE,FALSE,0.000103302,,,,,,,,,,13,2770.356,1.418953,26.35741,12057.03,15.73304,5.35216,,
63,48,ermB_804_Rep2,P22o,-1,21.52965,78.86214,,0.999984,5378.252,0.8090649,1.941203,FALSE,FALSE,FALSE,0.00032887,,,,,,,,,,7,3581.955,1.380516,24.34773,15015.63,4.005384,5.192021,,
63,49,IncHI2-smr0018_1566_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
63,50,IncI1_repI1_1565_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
63,51,IncN_rep_340_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
63,52,tetQ_185_Rep2,P22o,-1,16.87421,76.75156,,0.999749,72111.31,0.8109825,1.995613,FALSE,FALSE,FALSE,0.005477787,,,,,,,,,,7,2624.46,1.329679,19.62534,14078.54,18.85798,6.364356,,
63,53,tetW_191_Rep2,P22o,-1,15.38589,81.1725,,0.9999464,17918.21,0.7919176,1.97081,FALSE,FALSE,FALSE,0.02115309,,,,,,,,,,16,2361.084,1.352187,18.16666,14458.8,12.75698,7.1238,,
63,54,IS26_1546_Rep2,P22o,-1,30.53896,86.30086,,0.9999543,10851.46,0.5559014,1.879029,FALSE,FALSE,FALSE,1.16E-06,CtIsLarge,,,,,,,,,11,2814.423,1.445852,33.44308,12855.66,8.773569,5.567779,,
63,55,ISEcp1_1550_Rep2,P22o,,,,,,,,,,,,,"BadR2, HighEfficiency, CtIsLarge, SaturationBaselineRatioIsLow, CurveFitFailed, HighBaseline",,,,,,,,,,,,,,,,,
63,56,oqxA_1577_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
63,57,sul2_133_Rep2,P22o,-1,26.59318,85.40297,,0.999976,5624.714,0.7081372,1.950911,FALSE,FALSE,FALSE,6.07E-06,,,,,,,,,,12,2282.356,1.371044,29.39879,12469.81,14.38159,6.463571,,
63,58,lncF_FIC_1564_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
63,59,mobA_1524_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
67,48,tnpA_202_Rep2,P22o,-1,30.27396,82.14767,,0.9999771,7716.818,0.5746875,1.913129,FALSE,FALSE,FALSE,8.92E-07,CtIsLarge,,,,,,,,,8,3064.43,1.408976,33.12952,14529.46,18.8775,5.741324,,
67,49,ant6-ia_431_Rep2,P22o,-1,23.00031,79.15574,,0.999944,13165.93,0.7948473,1.89205,FALSE,FALSE,FALSE,0.000189899,,,,,,,,,,8,2804.255,1.431457,25.88548,13552.05,9.877748,5.832674,,
67,50,tetL_195_Rep2,P22o,-1,27.66143,78.34126,,0.9998015,42961.55,0.6730341,2.005908,FALSE,FALSE,FALSE,1.19E-06,,,,,,,,,,7,2422.645,1.320643,30.40066,11829.07,17.34297,5.88271,,
67,51,tnpA_203_Rep2,P22o,-1,31.18537,84.59462,,0.9999692,5441.381,0.5350232,1.858674,FALSE,FALSE,FALSE,8.75E-07,CtIsLarge,,,,,,,,,5,2198.902,1.469184,34.12023,10665.39,10.64452,5.850324,,
67,52,traN_1525_Rep2,P22o,,,,,,,,,,,,,CurveFitFailed,,,,,,,,,,,,,,,,,
67,53,blaROB_41_Rep2,P22o,-1,26.25387,80.41263,,0.9998931,30616.64,0.7099401,1.891747,FALSE,FALSE,FALSE,1.98E-05,,,,,,,,,,11,3249.688,1.431787,29.13947,13652.24,2.25791,5.201094,,
